FROZEN DIRECT REPLAY 3 interior 1 min_ratio 2.5610337797013676 mass matrix difference 1.3600232051658168e-15
bin required mass slack ratio
0 0.00039250000000000005 0.0095207541064501588 0.0091282541064501583 24.256698360382568
1 0.00023124999999999998 0.0039017340625231954 0.0036704840625231953 16.87236351361382
2 0.00085500000000000018 0.0030998653773565746 0.0022448653773565743 3.6255735407679226
3 0.00066375000000000006 0.0025337959075069777 0.0018700459075069776 3.817394964228968
4 0.00077000000000000007 0.002370184869134046 0.0016001848691340459 3.0781621677065529
5 0.00085875000000000003 0.0021992877583185493 0.0013405377583185492 2.5610337797013676
6 0.0015362500000000001 0.0051773090916741845 0.0036410590916741842 3.3700954217569956
7 0.0012575000000000002 0.0040225980594676362 0.0027650980594676362 3.1988851367535869
8 0.0018737500000000004 0.014952815445936629 0.013079065445936629 7.9801550078380927
9 0.0019450000000000003 0.0086669680375547793 0.0067219680375547788 4.4560246979716078
10 0.0025987499999999999 0.0076682724854808962 0.0050695224854808967 2.9507542031672522
11 0.0028537500000000008 0.12862092896266564 0.12576717896266565 45.070846767469327
12 0.0030787500000000008 0.071540862848633174 0.068462112848633169 23.236983466872321
13 0.0023925000000000005 0.051610878412366709 0.04921837841236671 21.571944999944282
14 0.0026450000000000006 0.050426868018973205 0.047781868018973203 19.064978457078713
15 0.0030462499999999999 0.041935828297626522 0.038889578297626522 13.766377775174895
16 0.0038674999999999998 0.036142714627338299 0.032275214627338296 9.3452397226472659
17 0.0059675000000000023 0.053854576306728581 0.047887076306728581 9.0246462181363327
18 0.0072175000000000008 0.051361949254113658 0.044144449254113656 7.1163074823849879
19 0.0063000000000000026 0.044090232792241904 0.037790232792241904 6.9984496495622039
FROZEN DIRECT REPLAY 3 interior 2 min_ratio 2.5041812328387327 mass matrix difference 2.636779683484747e-16
bin required mass slack ratio
0 0.00039250000000000005 0.0095207531079210712 0.0091282531079210708 24.256695816359414
1 0.00023250000000000001 0.0039347634114397113 0.0037022634114397112 16.923713597590154
2 0.00085249999999999996 0.0030334166308840227 0.0021809166308840227 3.5582599775765664
3 0.00066500000000000001 0.0025672143200126296 0.0019022143200126296 3.8604726616731271
4 0.00076500000000000005 0.0023911475070025833 0.0016261475070025832 3.1256830156896513
5 0.00085625000000000002 0.0021442051806181651 0.0012879551806181651 2.5041812328387327
6 0.0015550000000000002 0.0052089843733277158 0.0036539843733277158 3.3498291789888843
7 0.0012400000000000002 0.0040438934125298963 0.0028038934125298961 3.2612043649434641
8 0.0018943750000000002 0.014864583604475234 0.012970208604475234 7.8466954032201821
9 0.0019337499999999999 0.0087601862860809936 0.0068264362860809939 4.5301545112248194
10 0.0026231250000000005 0.0076758831998129575 0.0050527581998129571 2.9262361495593829
11 0.0028231250000000005 0.12898813529361181 0.1261650102936118 45.689842034487235
12 0.00309625 0.07114659480285386 0.068050344802853865 22.978310796238631
13 0.0023787500000000002 0.051636967321232165 0.049258217321232166 21.707605810292026
14 0.0026337500000000007 0.050432908583855081 0.047799158583855084 19.148707578112983
15 0.0030406250000000008 0.041773758512574095 0.038733133512574097 13.738543395707818
16 0.0039000000000000007 0.036485915277804447 0.032585915277804446 9.3553628917447291
17 0.0059456249999999995 0.053265437679192361 0.047319812679192358 8.9587617246618088
18 0.0072312500000000024 0.051574680859555723 0.044343430859555721 7.13219441445887
19 0.0062793750000000028 0.044024819606833181 0.037745444606833177 7.0110193461663242
FROZEN DIRECT REPLAY 3 improved 1 min_ratio 1.0542589716960387 mass matrix difference 3.469446951953614e-16
bin required mass slack ratio
0 0.00039250000000000005 0.0039588545801990905 0.0035663545801990905 10.086253707513604
